Date,Crude Oil,State Underground Storage Tank,Refinery,Marketing,Tax,Average Retail Price
01/04/1999,0.25,0.00,0.26,0.17,0.44,1.13
01/11/1999,0.27,0.00,0.24,0.18,0.44,1.13
01/18/1999,0.25,0.00,0.24,0.19,0.44,1.12
01/25/1999,0.25,0.00,0.23,0.19,0.44,1.12
02/01/1999,0.26,0.00,0.24,0.17,0.44,1.11
02/08/1999,0.24,0.00,0.27,0.16,0.44,1.11
02/15/1999,0.23,0.00,0.27,0.16,0.44,1.10
02/22/1999,0.25,0.00,0.25,0.17,0.44,1.11
03/01/1999,0.26,0.00,0.27,0.15,0.44,1.12
03/08/1999,0.29,0.00,0.33,0.10,0.45,1.16
03/15/1999,0.30,0.00,0.33,0.11,0.45,1.19
03/22/1999,0.32,0.00,0.46,-0.01,0.45,1.23
03/29/1999,0.35,0.00,0.71,-0.07,0.47,1.46
04/05/1999,0.36,0.00,0.73,0.02,0.48,1.59
04/12/1999,0.35,0.00,0.64,0.15,0.48,1.62
04/19/1999,0.38,0.00,0.49,0.24,0.48,1.59
04/26/1999,0.38,0.00,0.47,0.25,0.48,1.57
05/03/1999,0.38,0.00,0.45,0.24,0.48,1.54
05/10/1999,0.41,0.00,0.41,0.23,0.47,1.51
05/17/1999,0.40,0.00,0.38,0.23,0.47,1.48
05/24/1999,0.35,0.00,0.40,0.21,0.47,1.42
05/31/1999,0.35,0.00,0.41,0.15,0.46,1.37
06/07/1999,0.38,0.00,0.40,0.11,0.46,1.35
06/14/1999,0.39,0.00,0.47,0.02,0.46,1.34
06/21/1999,0.37,0.00,0.46,0.05,0.46,1.34
06/28/1999,0.38,0.00,0.45,0.05,0.46,1.34
07/05/1999,0.42,0.00,0.48,-0.03,0.46,1.33
07/12/1999,0.42,0.00,0.54,-0.04,0.46,1.38
07/19/1999,0.41,0.00,0.69,-0.11,0.47,1.46
07/26/1999,0.45,0.00,0.57,-0.02,0.47,1.48
08/02/1999,0.46,0.00,0.68,-0.12,0.47,1.50
08/09/1999,0.47,0.00,0.61,-0.03,0.47,1.53
08/16/1999,0.49,0.00,0.52,0.06,0.47,1.53
08/23/1999,0.48,0.00,0.48,0.08,0.47,1.52
08/30/1999,0.50,0.00,0.37,0.16,0.47,1.50
09/06/1999,0.52,0.00,0.32,0.15,0.47,1.46
09/13/1999,0.55,0.00,0.27,0.15,0.47,1.45
09/20/1999,0.56,0.00,0.25,0.16,0.47,1.42
09/27/1999,0.57,0.00,0.24,0.12,0.46,1.39
10/04/1999,0.55,0.00,0.30,0.08,0.46,1.38
